epoch,lr,train_MSE,train_RMSE,train_RRMSE,train_CC,test_MSE,test_RMSE,test_RRMSE,test_CC,train_KL,train_JSD,train_JSDist,test_KL,test_JSD,test_JSDist,ot_lambda_alpha
1,0.0009997532801828658,0.1371236890554428,0.3703021705150604,0.3703021705150604,0.9263229966163635,0.14458034932613373,0.38023725152015686,0.38023725152015686,0.9220889806747437,0.014031525196221013,0.003292369859543844,0.05332336668880322,0.014941027659408803,0.0034974184591965193,0.05489114013472171,0.005000000000000001
2,0.0009990133642141358,0.10267053544521332,0.3204224407672882,0.3204224407672882,0.9449267983436584,0.11187788844108582,0.33448153734207153,0.33448153734207153,0.9397392868995667,0.01042626686155414,0.002453817165820883,0.045440950335409395,0.011513888571926385,0.0027012570011041032,0.04750982944629813,0.010000000000000002
3,0.00099778098230154,0.084983229637146,0.29151883721351624,0.2915188670158386,0.9542835354804993,0.0945284441113472,0.30745479464530945,0.30745479464530945,0.9490138292312622,0.008572970759959365,0.0020305842459679415,0.04092436177799335,0.009642805380586452,0.0022747959908765445,0.043050800617256545,0.015
4,0.000996057350657239,0.07476736605167389,0.27343621850013733,0.2734362483024597,0.9608145356178284,0.0858016386628151,0.29291918873786926,0.29291918873786926,0.9545963406562805,0.007421568465323593,0.0017563670257237764,0.03806387146409505,0.008676890237403473,0.0020410627220021436,0.04066906725755206,0.020000000000000004
5,0.0009938441702975688,0.06718044728040695,0.25919193029403687,0.25919193029403687,0.9636951088905334,0.07821539789438248,0.27967017889022827,0.27967017889022827,0.9576848745346069,0.006678651506081224,0.001586931190925101,0.035996383256637135,0.007896518011458692,0.0018649859217878485,0.038602016133267004,0.025
6,0.0009911436253643444,0.05878955498337746,0.24246560037136078,0.24246561527252197,0.9681823253631592,0.06988763809204102,0.26436272263526917,0.26436272263526917,0.962181031703949,0.005935944348442345,0.0014223063142241863,0.033978028836636205,0.007174814588344848,0.001707446475078768,0.03670954346121264,0.03
7,0.0009879583809693736,0.05472419410943985,0.23393204808235168,0.23393206298351288,0.9701825976371765,0.06600327044725418,0.256911039352417,0.256911039352417,0.9640938639640808,0.0054760196419337236,0.0013038909874665433,0.03257380462466524,0.0066936406581652825,0.0015834230586474981,0.03532558015927845,0.034999999999999996
8,0.0009842915805643154,0.04956405982375145,0.22262988984584808,0.22262988984584808,0.9728423953056335,0.06119043752551079,0.2473670393228531,0.2473670393228531,0.9665284752845764,0.004995389405088738,0.0011957942424580838,0.03116876030436311,0.00628299049088577,0.0014927644484565503,0.034184951172967645,0.04000000000000001
9,0.0009801468428384714,0.04771727696061134,0.2184428721666336,0.2184428870677948,0.9739682078361511,0.05921301990747452,0.24333727359771729,0.24333727359771729,0.9678463935852051,0.004800248821862997,0.0011492693953466817,0.03061395468763434,0.006023771680414126,0.0014302425785631514,0.03350541296396463,0.045000000000000005
10,0.0009755282581475767,0.04567791894078255,0.21372395753860474,0.21372395753860474,0.9752959609031677,0.05741221085190773,0.23960848152637482,0.23960848152637482,0.969080924987793,0.004590732571430122,0.0011037232015484895,0.029934631918485347,0.005857225762072322,0.0013974868527668305,0.032991222337529394,0.05
11,0.0009704403844771127,0.04221745952963829,0.20546890795230865,0.20546890795230865,0.9766648411750793,0.053937625139951706,0.23224477469921112,0.23224477469921112,0.9703801870346069,0.004314940313522059,0.0010334315885885213,0.029001766808617574,0.005572189086770144,0.0013231429737763662,0.032073809082179106,0.05500000000000001
12,0.0009648882429441257,0.04037480428814888,0.20093485713005066,0.20093485713005066,0.9776613116264343,0.05255445837974548,0.22924761474132538,0.22924761474132538,0.9710795283317566,0.004081497750937557,0.0009746466834957783,0.028268956777472525,0.0054000290246911985,0.0012785956269772167,0.031525087492014714,0.06
