noise,snr_idx,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std,RRMSE_temp_mean,RRMSE_temp_std,RRMSE_spec_mean,RRMSE_spec_std,CC_overall,MSE_overall,RMSE_overall,RRMSE_overall,RRMSE_temp_overall,RRMSE_spec_overall,file
CHEW,ALL,,,,,,,,,,,,,0.985580325126648,0.028478916734457,0.1534373164176941,0.1534373164176941,0.1534373164176941,0.1292212346376819,metrics_CHEW.csv
ELPP,ALL,,,,,,,,,,,,,0.989177107810974,0.0216117985546588,0.1357762068510055,0.1357762068510055,0.1357762068510055,0.1289645696917997,metrics_ELPP.csv
EMG,ALL,,,,,,,,,,,,,0.981837809085846,0.0357485152781009,0.1710488200187683,0.1710488200187683,0.1710488200187683,0.1343235607314534,metrics_EMG.csv
EOG,ALL,,,,,,,,,,,,,0.9972259402275084,0.0056078718043863,0.0710281506180763,0.0710281506180763,0.0710281506180763,0.0703369111871138,metrics_EOG.csv
SHIV,ALL,,,,,,,,,,,,,0.9782759547233582,0.0420885607600212,0.1718529611825943,0.1718529611825943,0.1718529611825943,0.1440411695384929,metrics_SHIV.csv
PROMEDIO,,,,,,,,,,,,,,0.986419427394867,0.026707132626324837,0.1406286910176277,0.1406286910176277,0.1406286910176277,0.12137748915730832,PROMEDIO
