noise,snr_idx,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std,RRMSE_temp_mean,RRMSE_temp_std,RRMSE_spec_mean,RRMSE_spec_std,CC_overall,MSE_overall,RMSE_overall,RRMSE_overall,RRMSE_temp_overall,RRMSE_spec_overall
CHEW_BASELINE,0,0.4871387183666229,0.05946784466505051,3.1622774600982666,2.3673243276789435e-07,1.7782793045043945,1.175536112896225e-07,1.7782793045043945,1.3146838284683326e-07,1.7782793045043945,1.3146838284683326e-07,4.1651689542819605,3.0812706574939974,,,,,,
CHEW_BASELINE,1,0.530850350856781,0.0543365553021431,2.5118863582611084,1.759374725907037e-07,1.5848932266235352,2.3499765688939078e-08,1.5848932266235352,3.554268701577712e-08,1.5848932266235352,3.554268701577712e-08,3.354842064205603,2.4691964563344584,,,,,,
CHEW_BASELINE,2,0.575354278087616,0.04883110895752907,1.9952620267868042,3.0348127211254905e-07,1.412537693977356,1.358358048264563e-07,1.412537693977356,1.3500647355613182e-07,1.412537693977356,1.3500647355613182e-07,2.711146621218743,1.9821129722328823,,,,,,
CHEW_BASELINE,3,0.6198954582214355,0.04309283196926117,1.5848932266235352,5.8118963863762474e-08,1.258925437927246,5.076059750308559e-08,1.258925437927246,4.9721219141929396e-08,1.258925437927246,4.9721219141929396e-08,2.1996047136113113,1.5943038674487464,,,,,,
CHEW_BASELINE,4,0.6636542081832886,0.037297409027814865,1.258925437927246,4.337432812917541e-08,1.1220184564590454,1.5595322366834807e-08,1.1220184564590454,3.7501326488609266e-08,1.1220184564590454,3.7501326488609266e-08,1.7927757072031503,1.2853842190516493,,,,,,
CHEW_BASELINE,5,0.7058101296424866,0.031636450439691544,1.0,2.952954325508017e-08,1.0,2.1711887399078478e-08,1.0,2.183508840403192e-08,1.0,2.183508840403192e-08,1.4688318088257342,1.0391786796208793,,,,,,
CHEW_BASELINE,6,0.7456117868423462,0.02629365399479866,0.7943281531333923,8.053315525557991e-08,0.8912510871887207,1.6613184072866716e-07,0.8912510871887207,1.628583845558751e-07,0.8912510871887207,1.628583845558751e-07,1.2104273831731416,0.8428326873233837,,,,,,
CHEW_BASELINE,7,0.7824409008026123,0.021421365439891815,0.6309574246406555,7.423091830105477e-08,0.7943282723426819,2.6102817685114132e-08,0.7943282723426819,2.545066379866512e-08,0.7943282723426819,2.545066379866512e-08,1.0037795356773092,0.6861402758881976,,,,,,
CHEW_BASELINE,8,0.8158577680587769,0.017123691737651825,0.501187264919281,5.059120766759406e-08,0.7079457640647888,3.163470196909657e-08,0.7079457640647888,3.547217275468029e-08,0.7079457640647888,3.547217275468029e-08,0.8379402792433621,0.5610113013499354,,,,,,
CHEW_BASELINE,9,0.8456209301948547,0.013449978083372116,0.3981071710586548,1.2746394162377328e-08,0.6309574246406555,6.689113263291802e-08,0.6309574246406555,6.680820519022745e-08,0.6309574246406555,6.680820519022745e-08,0.7042465074476697,0.4610087254495185,,,,,,
CHEW_BASELINE,10,0.8716791272163391,0.010398725047707558,0.3162277638912201,1.8750663244304633e-08,0.5623412132263184,1.1301941782448921e-07,0.5623412728309631,5.8294094884558945e-08,0.5623412728309631,5.8294094884558945e-08,0.5958798790259804,0.3809811066081484,,,,,,
CHEW_BASELINE,ALL,,,,,,,,,,,,,0.6949012279510498,1.2867320775985718,1.0675889253616333,1.0675889253616333,1.0675889253616333,1.8222403139921788
