noise,snr_idx,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std,CC_overall,MSE_overall,RMSE_overall,RRMSE_overall
ELPP,0,0.9805867075920105,0.021688619628548622,0.038329340517520905,0.04190349578857422,0.17620226740837097,0.08533523231744766,0.17620226740837097,0.08533523231744766,,,,
ELPP,1,0.9837832450866699,0.016962891444563866,0.03213776648044586,0.03300832211971283,0.16314814984798431,0.07429975271224976,0.16314814984798431,0.07429975271224976,,,,
ELPP,2,0.98624187707901,0.013279924169182777,0.02734793722629547,0.025997236371040344,0.15220434963703156,0.06466665863990784,0.15220434963703156,0.06466665863990784,,,,
ELPP,3,0.9881445169448853,0.01047545950859785,0.023622391745448112,0.020597143098711967,0.14300791919231415,0.05631273612380028,0.14300791919231415,0.05631273612380028,,,,
ELPP,4,0.9896425008773804,0.008302495814859867,0.02067837305366993,0.01637839712202549,0.13520970940589905,0.04895620793104172,0.13520970940589905,0.04895620793104172,,,,
ELPP,5,0.990814745426178,0.006645715329796076,0.018368566408753395,0.013140734285116196,0.12864550948143005,0.042648520320653915,0.12864550948143005,0.042648520320653915,,,,
ELPP,6,0.9917418360710144,0.005377472378313541,0.016538990661501884,0.010651006363332272,0.12305862456560135,0.037357255816459656,0.12305862456560135,0.037357255816459656,,,,
ELPP,7,0.9924984574317932,0.004413820803165436,0.015043267048895359,0.008753417059779167,0.11810982972383499,0.033065617084503174,0.11810982972383499,0.033065617084503174,,,,
ELPP,8,0.9931524991989136,0.0036877207458019257,0.013747629709541798,0.007321234792470932,0.11342795938253403,0.02969389595091343,0.11342795938253403,0.02969389595091343,,,,
ELPP,9,0.9937406778335571,0.0031618401408195496,0.012578546069562435,0.006282264832407236,0.10883041471242905,0.027101434767246246,0.10883041471242905,0.027101434767246246,,,,
ELPP,10,0.9942929744720459,0.002741234377026558,0.011475661769509315,0.005450730212032795,0.10418902337551117,0.024905970320105553,0.10418902337551117,0.024905970320105553,,,,
ELPP,ALL,,,,,,,,,0.9895127415657043,0.02089713327586651,0.13327577710151672,0.13327577710151672
