noise,snr_idx,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std,CC_overall,MSE_overall,RMSE_overall,RRMSE_overall
SHIV,0,0.9487830400466919,0.08619002997875214,0.09724397212266922,0.15682381391525269,0.25662916898727417,0.1771593689918518,0.25662916898727417,0.1771593689918518,,,,
SHIV,1,0.9601706266403198,0.06789958477020264,0.07633740454912186,0.12460890412330627,0.2303527295589447,0.15256156027317047,0.2303527295589447,0.15256156027317047,,,,
SHIV,2,0.9689604043960571,0.0519862100481987,0.06001892313361168,0.09623295813798904,0.20789086818695068,0.12961599230766296,0.20789086818695068,0.12961599230766296,,,,
SHIV,3,0.975556492805481,0.038978029042482376,0.04765009507536888,0.07286375761032104,0.18896104395389557,0.10928776860237122,0.18896104395389557,0.10928777605295181,,,,
SHIV,4,0.9803454279899597,0.02911088988184929,0.03857320547103882,0.054980989545583725,0.1732804775238037,0.09245041757822037,0.1732804775238037,0.09245041757822037,,,,
SHIV,5,0.9838417172431946,0.021812861785292625,0.03188019245862961,0.0416296049952507,0.16025365889072418,0.07873344421386719,0.16025365889072418,0.07873344421386719,,,,
SHIV,6,0.9864252805709839,0.016563303768634796,0.026889830827713013,0.03190024569630623,0.14934894442558289,0.06771055608987808,0.14934894442558289,0.06771055608987808,,,,
SHIV,7,0.9883722066879272,0.012730568647384644,0.02310384437441826,0.024723699316382408,0.1401403546333313,0.05886021628975868,0.1401403546333313,0.05886021628975868,,,,
SHIV,8,0.989875078201294,0.009868774563074112,0.020165687426924706,0.01930961199104786,0.1322728991508484,0.05166790634393692,0.1322728991508484,0.05166790634393692,,,,
SHIV,9,0.9910566210746765,0.007787331007421017,0.017844578251242638,0.015325079672038555,0.12546922266483307,0.04584813863039017,0.12546922266483307,0.04584813863039017,,,,
SHIV,10,0.992003321647644,0.006300267763435841,0.01597759500145912,0.012448251247406006,0.1195153146982193,0.04115436226129532,0.1195153146982193,0.04115436226129532,,,,
SHIV,ALL,,,,,,,,,0.9786718487739563,0.04142593964934349,0.17128315567970276,0.17128315567970276
