noise,snr_idx,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std,CC_overall,MSE_overall,RMSE_overall,RRMSE_overall
EMG,0,0.9628646373748779,0.04673691466450691,0.07190082967281342,0.0870053619146347,0.2374766618013382,0.12452174723148346,0.2374766618013382,0.12452174723148346,,,,
EMG,1,0.9703964591026306,0.03466053679585457,0.05774427950382233,0.06526809185743332,0.2160654217004776,0.10516656190156937,0.2160654217004776,0.10516656190156937,,,,
EMG,2,0.9758167862892151,0.025870956480503082,0.047452643513679504,0.049269966781139374,0.19860967993736267,0.0894809290766716,0.19860967993736267,0.0894809290766716,,,,
EMG,3,0.9797382354736328,0.019722357392311096,0.03993728756904602,0.037928324192762375,0.18434666097164154,0.07715952396392822,0.18434666097164154,0.07715952396392822,,,,
EMG,4,0.9826323986053467,0.015439561568200588,0.03434734046459198,0.02992277219891548,0.17258217930793762,0.06754801422357559,0.17258217930793762,0.06754801422357559,,,,
EMG,5,0.9848172068595886,0.012455232441425323,0.030101265758275986,0.024279098957777023,0.16276676952838898,0.06006866693496704,0.16276676952838898,0.06006866693496704,,,,
EMG,6,0.9865066409111023,0.010342448018491268,0.026802146807312965,0.02024686336517334,0.15447422862052917,0.05422051623463631,0.15447422862052917,0.05422051623463631,,,,
EMG,7,0.9878456592559814,0.008802416734397411,0.02417798712849617,0.01728735864162445,0.14737699925899506,0.04957829415798187,0.14737699925899506,0.04957829415798187,,,,
EMG,8,0.9889336228370667,0.007641032338142395,0.02204046957194805,0.015044140629470348,0.14121472835540771,0.045813411474227905,0.14121472835540771,0.045813411474227905,,,,
EMG,9,0.9898386597633362,0.006735214032232761,0.02025868371129036,0.013287707231938839,0.1357833445072174,0.04267978295683861,0.1357833445072174,0.04267978295683861,,,,
EMG,10,0.9906095266342163,0.006003343500196934,0.018739191815257072,0.011864246800541878,0.1309189796447754,0.039992667734622955,0.1309189796447754,0.039992667734622955,,,,
EMG,ALL,,,,,,,,,0.9818180799484253,0.03577291592955589,0.17105597257614136,0.17105598747730255
