noise,snr_idx,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std,CC_overall,MSE_overall,RMSE_overall,RRMSE_overall
EOG,0,0.9954354763031006,0.00296638160943985,0.009204893372952938,0.005932381376624107,0.09197992086410522,0.027287127450108528,0.09197992086410522,0.027287127450108528,,,,
EOG,1,0.9959343671798706,0.002566753886640072,0.008203184232115746,0.005141525063663721,0.08690840005874634,0.025497352704405785,0.08690840005874634,0.025497352704405785,,,,
EOG,2,0.9963729977607727,0.0022406624630093575,0.007321774028241634,0.0044938744977116585,0.08216162770986557,0.023900659754872322,0.08216162770986557,0.02390066161751747,,,,
EOG,3,0.9967612624168396,0.001964410999789834,0.006541590206325054,0.003943777643144131,0.07770981639623642,0.0224226675927639,0.07770981639623642,0.0224226675927639,,,,
EOG,4,0.9971048831939697,0.001726481132209301,0.005850875750184059,0.003469008021056652,0.07354439049959183,0.0210261270403862,0.07354439049959183,0.0210261270403862,,,,
EOG,5,0.997407853603363,0.0015205328818410635,0.005241808481514454,0.0030573741532862186,0.06966813653707504,0.019701749086380005,0.06966813653707504,0.019701749086380005,,,,
EOG,6,0.9976732134819031,0.0013437969610095024,0.004708171356469393,0.002703683916479349,0.06608513742685318,0.01846417598426342,0.06608513742685318,0.01846417598426342,,,,
EOG,7,0.9979035258293152,0.0011943046702072024,0.0042447433806955814,0.0024043177254498005,0.06280326843261719,0.01733473129570484,0.06280326843261719,0.01733473129570484,,,,
EOG,8,0.9981019496917725,0.0010702464496716857,0.0038456402253359556,0.002155817113816738,0.05982392653822899,0.016332123428583145,0.05982392653822899,0.016332123428583145,,,,
EOG,9,0.9982715845108032,0.0009690641309134662,0.003504376159980893,0.0019531259313225746,0.05714261904358864,0.015462782233953476,0.05714261904358864,0.015462782233953476,,,,
EOG,10,0.9984159469604492,0.0008864104747772217,0.003213906427845359,0.0017876559868454933,0.05474753677845001,0.01471781823784113,0.05474753677845001,0.01471781823784113,,,,
EOG,ALL,,,,,,,,,0.9972166419029236,0.005625542718917131,0.07114315778017044,0.07114315778017044
