noise,snr_idx,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std,CC_overall,MSE_overall,RMSE_overall,RRMSE_overall
CHEW,0,0.970324695110321,0.04220914840698242,0.0577121339738369,0.07784173637628555,0.2141573131084442,0.10885210335254669,0.2141573131084442,0.10885210335254669,,,,
CHEW,1,0.9761731028556824,0.03149774298071861,0.0466717928647995,0.058778584003448486,0.19551073014736176,0.09190946072340012,0.19551073014736176,0.09190946072340012,,,,
CHEW,2,0.9804781675338745,0.023456575348973274,0.03845846652984619,0.044295817613601685,0.17997895181179047,0.07788481563329697,0.17997895181179047,0.07788481563329697,,,,
CHEW,3,0.983668327331543,0.017540201544761658,0.0323154591023922,0.0335199236869812,0.16698205471038818,0.06657662242650986,0.16698205471038818,0.06657662242650986,,,,
CHEW,4,0.9860730767250061,0.013316251337528229,0.027648650109767914,0.025726022198796272,0.15599749982357025,0.05756239965558052,0.15599749982357025,0.05756239965558052,,,,
CHEW,5,0.9879208207130432,0.010366544127464294,0.024038776755332947,0.020201215520501137,0.1466088742017746,0.05044414475560188,0.1466088742017746,0.05044414475560188,,,,
CHEW,6,0.9893754124641418,0.008265295997262001,0.021182630211114883,0.016209959983825684,0.13848216831684113,0.04478081315755844,0.13848218321800232,0.04478081315755844,,,,
CHEW,7,0.9905474185943604,0.006733783055096865,0.018872665241360664,0.013267626985907555,0.1313595026731491,0.04021625965833664,0.1313595026731491,0.04021625965833664,,,,
CHEW,8,0.9915100932121277,0.005607679486274719,0.016969796270132065,0.0110857542604208,0.12504687905311584,0.03651128336787224,0.12504687905311584,0.03651128336787224,,,,
CHEW,9,0.9923146963119507,0.004767038859426975,0.015375906601548195,0.009447119198739529,0.1193949431180954,0.03347766399383545,0.1193949431180954,0.03347766399383545,,,,
CHEW,10,0.992997407913208,0.004126249346882105,0.014021611772477627,0.00819255132228136,0.11429160833358765,0.03096839413046837,0.11429160833358765,0.03096839413046837,,,,
CHEW,ALL,,,,,,,,,0.9855801463127136,0.028478901833295822,0.1534373164176941,0.1534373164176941
