noise,snr_idx,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std,CC_overall,MSE_overall,RMSE_overall,RRMSE_overall
EMG,0,0.9629212021827698,0.04614424705505371,0.07180526852607727,0.08588823676109314,0.23759880661964417,0.12390348315238953,0.23759880661964417,0.12390348315238953,,,,
EMG,1,0.9703986048698425,0.03453398123383522,0.05775878205895424,0.0650305449962616,0.21619711816310883,0.10496470332145691,0.21619711816310883,0.10496470332145691,,,,
EMG,2,0.9758153557777405,0.025860365480184555,0.04747417941689491,0.049259252846241,0.1986970603466034,0.08940725773572922,0.1986970603466034,0.08940725773572922,,,,
EMG,3,0.9797542691230774,0.01967434398829937,0.039924878627061844,0.03786499425768852,0.18436336517333984,0.07703913003206253,0.18436336517333984,0.07703913003206253,,,,
EMG,4,0.9826546907424927,0.015410077758133411,0.034320585429668427,0.029894240200519562,0.1725514531135559,0.0674283355474472,0.1725514531135559,0.0674283355474472,,,,
EMG,5,0.9848400354385376,0.012448514811694622,0.0300708319991827,0.024290138855576515,0.16270849108695984,0.059973135590553284,0.16270849108695984,0.059973135590553284,,,,
EMG,6,0.9865280985832214,0.010339456610381603,0.026772918179631233,0.02026219852268696,0.154408797621727,0.05413725972175598,0.154408797621727,0.05413725972175598,,,,
EMG,7,0.9878652691841125,0.008794006891548634,0.024150937795639038,0.0172895435243845,0.14731307327747345,0.04949542135000229,0.14731307327747345,0.04949542135000229,,,,
EMG,8,0.9889516830444336,0.007626248989254236,0.0220151636749506,0.015031032264232635,0.14115314185619354,0.045726943761110306,0.14115315675735474,0.045726943761110306,,,,
EMG,9,0.9898565411567688,0.006713805254548788,0.02023245394229889,0.013258697465062141,0.13571597635746002,0.042586684226989746,0.13571597635746002,0.042586684226989746,,,,
EMG,10,0.9906291365623474,0.005975721403956413,0.018707651644945145,0.011820024810731411,0.13082967698574066,0.039890456944704056,0.13082967698574066,0.039890456944704056,,,,
EMG,ALL,,,,,,,,,0.981837809085846,0.03574851527810097,0.1710488200187683,0.1710488200187683
