epoch,train_mse,train_rmse,train_rrmse,train_cc,test_mse,test_rmse,test_rrmse,test_cc,ot_lambda_alpha
69,0.017127,0.130869,0.130869,0.9895,0.029216,0.170927,0.170927,0.9832,0.1
70,0.017267,0.131403,0.131403,0.9894,0.029324,0.171243,0.171243,0.9832,0.1
71,0.017071,0.130655,0.130655,0.9895,0.029203,0.170889,0.170889,0.9832,0.1
72,0.016951,0.130195,0.130195,0.9896,0.02912,0.170646,0.170646,0.9833,0.1
73,0.016772,0.129506,0.129506,0.9897,0.028924,0.170071,0.170071,0.9834,0.1
74,0.016728,0.129336,0.129336,0.9897,0.028885,0.169955,0.169955,0.9834,0.1
75,0.016705,0.12925,0.12925,0.9897,0.028906,0.170017,0.170017,0.9834,0.1
76,0.016681,0.129156,0.129156,0.9897,0.02889,0.169969,0.169969,0.9834,0.1
77,0.016447,0.128245,0.128245,0.9898,0.028562,0.169004,0.169004,0.9835,0.1
78,0.016345,0.127846,0.127846,0.9899,0.028554,0.168978,0.168978,0.9836,0.1
79,0.016197,0.127269,0.127269,0.9899,0.028316,0.168274,0.168274,0.9837,0.1
80,0.016154,0.1271,0.1271,0.99,0.028335,0.168329,0.168329,0.9837,0.1
81,0.016256,0.127498,0.127498,0.9899,0.028386,0.168482,0.168482,0.9836,0.1
82,0.016133,0.127017,0.127017,0.99,0.028324,0.168299,0.168299,0.9837,0.1
83,0.016085,0.126826,0.126826,0.99,0.028256,0.168096,0.168096,0.9837,0.1
84,0.015962,0.12634,0.12634,0.9901,0.028141,0.167752,0.167752,0.9838,0.1
85,0.015945,0.126272,0.126272,0.9901,0.028137,0.16774,0.16774,0.9838,0.1
86,0.015863,0.125947,0.125947,0.9901,0.028065,0.167526,0.167526,0.9838,0.1
87,0.015905,0.126115,0.126115,0.9901,0.028107,0.167652,0.167652,0.9838,0.1
88,0.015825,0.125797,0.125797,0.9901,0.028019,0.167388,0.167388,0.9838,0.1
89,0.015797,0.125687,0.125687,0.9901,0.027988,0.167296,0.167296,0.9838,0.1
90,0.015777,0.125608,0.125608,0.9902,0.028003,0.167341,0.167341,0.9839,0.1
91,0.015744,0.125474,0.125474,0.9902,0.02796,0.167212,0.167212,0.9839,0.1
92,0.015759,0.125533,0.125533,0.9902,0.02799,0.167302,0.167302,0.9839,0.1
93,0.015731,0.125425,0.125425,0.9902,0.027951,0.167184,0.167184,0.9839,0.1
94,0.015695,0.125279,0.125279,0.9902,0.027925,0.167109,0.167109,0.9839,0.1
95,0.015708,0.125333,0.125333,0.9902,0.027933,0.16713,0.16713,0.9839,0.1
96,0.015686,0.125246,0.125246,0.9902,0.027903,0.167041,0.167041,0.9839,0.1
97,0.015676,0.125202,0.125202,0.9902,0.027895,0.167019,0.167019,0.9839,0.1
98,0.015687,0.125247,0.125247,0.9902,0.027902,0.167038,0.167038,0.9839,0.1
99,0.015696,0.125286,0.125286,0.9902,0.027913,0.167073,0.167073,0.9839,0.1
100,0.015684,0.125237,0.125237,0.9902,0.027902,0.167039,0.167039,0.9839,0.1
