epoch,train_mse,train_rmse,train_rrmse,train_mae,train_cc,val_mse,val_rmse,val_rrmse,val_mae,val_cc,lr,grad_norm
1,0.8178519367483064,0.904351666525974,1.1467238681852523,0.5809460262049453,0.6291513746142796,0.31644045250270797,0.562530401403078,0.7135608445926316,0.4290967186399583,0.8269407962748926,0.00029883053385405453,0.6328269243240356
2,0.3243554078798086,0.5695220872624771,0.7221581364808844,0.4357377237548265,0.8225477772977637,0.3025051406780491,0.5500046733238265,0.6976721582477243,0.4200278003171471,0.8352366088629367,0.0002973719006322959,0.2655653655529022
3,0.30900193752771166,0.55587942714919,0.704860499188241,0.4244680069147852,0.8315824126244633,0.29467811612010625,0.5428426255556082,0.6885872148530994,0.4134711355234479,0.839849099301937,0.0002953375776612738,0.5517113208770752
4,0.2998106938348043,0.5475497181396446,0.6942997708129751,0.41763294703388093,0.8370016549122569,0.28568942674637876,0.5344992298838033,0.6780037504794508,0.4065430998651587,0.8456209430657549,0.0002927355934843612,0.34114497900009155
5,0.2808402682988114,0.5299436463425252,0.6719713878014791,0.4046289570371361,0.8481998745586274,0.2506983851164477,0.5006978980547528,0.6351273000189352,0.3819413282363085,0.8658588010308863,0.0002895762169443708,0.2708307206630707
6,0.2571997414695742,0.5071486384380561,0.6430677872131004,0.38739660233067913,0.8619829067025844,0.23320534349326902,0.4829133912962748,0.6125679367710283,0.3688102585166569,0.8761816442142399,0.00028587191665712416,0.18341955542564392
7,0.24729723951017749,0.4972898948402003,0.6305677995919827,0.37981624692793226,0.8676855195706076,0.2254795078077249,0.47484682562666974,0.6023356268410963,0.3623525980598465,0.8802056847379744,0.0002816373118035211,0.263256311416626
8,0.24161706501390876,0.4915455879304673,0.6232832474346308,0.37523586709477935,0.8709406205170014,0.22254612514245942,0.47174794662240915,0.5984047482360375,0.3598122471959297,0.8817894894875888,0.00027688911443431207,0.18070152401924133
9,0.23735573796007844,0.4871916850276475,0.6177612337526078,0.3717206178641901,0.873378836593316,0.21844735504423016,0.46738352029594515,0.5928685430320054,0.35606007523494515,0.8840770796462728,0.00027164606351526803,0.21166211366653442
10,0.23364161612975276,0.48336488921905857,0.6129121763873072,0.3686863877577408,0.8754960800860946,0.21615556172355593,0.46492532919121105,0.5897503668116818,0.3541250258140929,0.885450099627687,0.0002659288509730446,0.3062969744205475
11,0.2306522535726868,0.48026269225569335,0.6089783772811058,0.36618190820165103,0.8771954886553615,0.21396013262297267,0.4625582478163941,0.586747761831007,0.35226562939230616,0.8870847771261308,0.0002597600400335998,0.30717769265174866
12,0.22792889816693684,0.4774189964454042,0.60537059080943,0.36391129190716726,0.8787395497625565,0.21362721311166127,0.4621982400568627,0.5862910977283907,0.35125426939733834,0.8868864897003055,0.00025316397617545003,0.18597541749477386
13,0.22556199699602017,0.4749336764181081,0.6022208810583763,0.3619431447003405,0.8800812095104366,0.2122341278033488,0.460688753719199,0.584376338377931,0.3506371274878243,0.8879196965154801,0.0002461666910491885,0.30587321519851685
14,0.22328525997784385,0.47253069739207826,0.5991738645661046,0.36000037805412793,0.8813699923893098,0.2089848501160351,0.45714860834966464,0.5798857204245459,0.347668992162848,0.8893985127310872,0.000238795799742453,0.2871399223804474
15,0.2212023294515267,0.4703215171045513,0.5963715648140532,0.3582218119130973,0.8825460320937484,0.20864544722001663,0.4567772402605198,0.5794146459249562,0.3471522509374035,0.8896256876664629,0.00023108039179579136,0.17600762844085693
16,0.21915196117601896,0.4681366906962313,0.5936009115534365,0.3564548404440188,0.8837042068480655,0.2066368425049478,0.45457325317812947,0.5766189234536745,0.3460168983075318,0.8909061436484832,0.00022305091639953446,0.1800776571035385
17,0.21749799743543388,0.46636680567492567,0.591358137696652,0.35504475082910414,0.8846363423579622,0.20511451832031735,0.4528957035789999,0.5744909785358261,0.34483764860479865,0.8918255069164419,0.00021473906222475292,0.27460917830467224
18,0.21582034947553863,0.4645646881496038,0.5890714596142133,0.3535895165108594,0.8855822368663815,0.20604679210589177,0.45392377345308954,0.5757950687784616,0.3451473574801013,0.8910853384303434,0.0002061776323625496,0.28183308243751526
19,0.21431428230390315,0.46294090584425907,0.5870170733274149,0.3522704259345406,0.8864290564165025,0.20322908319908023,0.4508093645867178,0.5718444907909395,0.34274632464761534,0.8927051340015814,0.00019740041486524543,0.20966118574142456
20,0.21282442484113157,0.46132897680628254,0.5849705627496411,0.35098385520097686,0.8872669871778768,0.2035634734100909,0.4511800897757911,0.5723147497820396,0.34291264365842855,0.8924339807150711,0.00018844204940037296,0.20838777720928192
21,0.2115089064691125,0.45990097463379276,0.583161867573409,0.3498302516413898,0.8880053425744998,0.20034350094178205,0.4475974764694078,0.5677702619279158,0.33964275500551067,0.8942400194740256,0.00017933789054373425,0.16586485505104065
22,0.21030901485291312,0.4585946083993063,0.5815026327182783,0.34878115927912917,0.8886790147755425,0.19865498115086552,0.44570728191366304,0.5653725802732399,0.33813305121426807,0.8951856481927011,0.00017012386825104183,0.18695655465126038
23,0.20908958823521728,0.4572631498767611,0.5798145793548293,0.34770315097446464,0.8893631852642174,0.19873591455563894,0.44579806477332196,0.5654877368831781,0.33821454587728833,0.8951336665549466,0.00016083634605879864,0.17473898828029633
24,0.2078696510375541,0.4559272431403437,0.578120877477996,0.34664508597076477,0.8900475568343218,0.19755517771648082,0.4444717963116229,0.5638053864869575,0.33746595766500886,0.8958941379607589,0.00015151197757403212,0.15313370525836945
25,0.20676607985781154,0.45471538335294037,0.5765849969360262,0.3456875082387545,0.8906648706857825,0.19661388438523753,0.4434116421399392,0.5624605978244104,0.3365015006844177,0.8963515943352042,0.00014218756181925296,0.15414486825466156
26,0.205707700418569,0.4535501079468166,0.5751074992227462,0.34473584169600835,0.8912574299133476,0.19499954749608037,0.44158753095629905,0.5601467418735451,0.33481054627880297,0.8972242415127526,0.0001328998980035249,0.14328649640083313
27,0.20472041895285498,0.4524604059504599,0.5737238456480659,0.34386035627822975,0.891810201452619,0.1944581068631351,0.44097404329862216,0.5593685425618862,0.3344647960528594,0.8976069916174413,0.00012368564029279866,0.17192253470420837
28,0.2037883040917241,0.4514291794863554,0.572414074074266,0.34304038130119924,0.8923311558913062,0.19423837572244762,0.4407248299363761,0.5590524193856018,0.33415344178386164,0.8976884324691136,0.00011458115315266445,0.1469712108373642
29,0.20292695934031832,0.4504741494695543,0.5712067325043225,0.34223738572869894,0.892813081257955,0.19338283020760302,0.4397531468990336,0.5578198549462878,0.3332823786230385,0.8981412277177518,0.00010562236783441995,0.1763744205236435
30,0.20204562021464836,0.4494948500424097,0.5699659669919714,0.34149872981231844,0.8933047179530821,0.19367661172357026,0.440087050165726,0.5582434059159759,0.33370205659424007,0.8980088002298828,9.684464057083656e-05,0.1669549196958542
31,0.2012796667864754,0.4486420252121678,0.5688813260733481,0.34079055409682424,0.893732793960341,0.19273291725347327,0.4390135729718083,0.5568817172121613,0.3328547440718021,0.8986570571826779,8.82826130412615e-05,0.23679274320602417
