noise,snr_idx,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std,CC_overall,MSE_overall,RMSE_overall,RRMSE_overall
SHIV,0,0.9473244547843933,0.09181475639343262,0.09954861551523209,0.1652706116437912,0.25822749733924866,0.1812930554151535,0.25822749733924866,0.1812930554151535,,,,
SHIV,1,0.9589717984199524,0.07257949560880661,0.07829494029283524,0.1317649930715561,0.2318560630083084,0.15664517879486084,0.2318560630083084,0.15664517879486084,,,,
SHIV,2,0.9681155681610107,0.055156584829092026,0.061458803713321686,0.10124224424362183,0.20917600393295288,0.13305716216564178,0.20917600393295288,0.13305716216564178,,,,
SHIV,3,0.9750439524650574,0.04089021682739258,0.048554930835962296,0.07593928277492523,0.18991070985794067,0.11175355315208435,0.18991070985794067,0.11175355315208435,,,,
SHIV,4,0.9801004528999329,0.029963234439492226,0.03901834413409233,0.056342869997024536,0.17384563386440277,0.09378719329833984,0.17384563386440277,0.09378719329833984,,,,
SHIV,5,0.9837532639503479,0.022008711472153664,0.03205130249261856,0.041929855942726135,0.16052544116973877,0.07926464825868607,0.16052544116973877,0.07926464825868607,,,,
SHIV,6,0.9864020347595215,0.016467325389385223,0.02694554254412651,0.0317256897687912,0.14946433901786804,0.06786715984344482,0.14946433901786804,0.06786715984344482,,,,
SHIV,7,0.9883777499198914,0.012531682848930359,0.02310560829937458,0.024364588782191277,0.14016513526439667,0.05881618708372116,0.14016513526439667,0.05881618708372116,,,,
SHIV,8,0.9898833632469177,0.009748358279466629,0.0201606135815382,0.019087402150034904,0.1322632133960724,0.05164356529712677,0.1322632133960724,0.05164356529712677,,,,
SHIV,9,0.9910595417022705,0.007761133834719658,0.017848404124379158,0.01527710072696209,0.12545323371887207,0.04593354091048241,0.12545323371887207,0.04593354091048241,,,,
SHIV,10,0.9920030236244202,0.006318183615803719,0.015987088903784752,0.012486189603805542,0.11949524283409119,0.04132765531539917,0.11949524283409119,0.04132765531539917,,,,
SHIV,ALL,,,,,,,,,0.9782759547233582,0.04208856076002121,0.1718529611825943,0.1718529611825943
