noise,snr_idx,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std,CC_overall,MSE_overall,RMSE_overall,RRMSE_overall
EMG_BASELINE,0,0.48847496509552,0.047374967485666275,3.1622774600982666,2.3594805043103406e-07,1.7782795429229736,1.3675708032678813e-07,1.7782795429229736,1.3152897793133889e-07,,,,
EMG_BASELINE,1,0.5320752263069153,0.04328196868300438,2.5118865966796875,1.8437819448990922e-07,1.5848932266235352,2.2062817350843034e-08,1.5848932266235352,3.358723077440118e-08,,,,
EMG_BASELINE,2,0.5764428973197937,0.03889886662364006,1.9952621459960938,1.9117220517728128e-07,1.4125375747680664,3.613499188759306e-08,1.4125375747680664,3.6007079984301527e-08,,,,
EMG_BASELINE,3,0.6208282709121704,0.03433752804994583,1.5848932266235352,5.342008790876207e-08,1.258925437927246,4.865118441443883e-08,1.258925437927246,4.812675769017005e-08,,,,
EMG_BASELINE,4,0.6644201278686523,0.029735732823610306,1.258925437927246,3.689315164479012e-08,1.122018575668335,1.1883132344792102e-07,1.122018575668335,1.1375289687975965e-07,,,,
EMG_BASELINE,5,0.7064082026481628,0.025242861360311508,1.0,2.5731239361448388e-08,1.0,2.0588911908703267e-08,1.0,2.043426583497876e-08,,,,
EMG_BASELINE,6,0.7460513710975647,0.02100173756480217,0.7943281531333923,7.691677694765531e-08,0.8912509083747864,2.7031992644310776e-08,0.8912509083747864,3.207651388947852e-08,,,,
EMG_BASELINE,7,0.7827397584915161,0.017130909487605095,0.6309573650360107,2.5061304143036978e-08,0.7943281531333923,1.1146093470415508e-07,0.7943281531333923,1.1200807392697243e-07,,,,
EMG_BASELINE,8,0.8160397410392761,0.013711853884160519,0.501187264919281,5.134467073730775e-08,0.7079458236694336,5.132219982328934e-08,0.7079458236694336,4.9304727411936256e-08,,,,
EMG_BASELINE,9,0.8457115888595581,0.010783913545310497,0.39810711145401,6.016803411057481e-08,0.6309574246406555,6.457864287767734e-08,0.6309574246406555,6.460096813043492e-08,,,,
EMG_BASELINE,10,0.8717033267021179,0.00834706425666809,0.3162277340888977,3.830625061596038e-08,0.5623412132263184,1.1387957954411831e-07,0.5623413324356079,2.2115036912850883e-08,,,,
EMG_BASELINE,ALL,,,,,,,,,0.6955359578132629,1.2867319583892822,1.0675889253616333,1.0675889253616333
