set,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std
denoised,0.8385066390037537,0.04922083020210266,0.25133681297302246,0.06751905381679535,0.4976425766944885,0.060734380036592484,0.552363932132721,0.08124930411577225
baseline,0.8684954643249512,0.16538037359714508,0.2999719977378845,0.3957820236682892,0.4388670027256012,0.32767021656036377,0.5523970127105713,0.5403487682342529
delta(den-baseline) CC,-0.02998882532119751,,,,,,,
delta(baseline-den) MSE,0.04863518476486206,,,,,,,
delta(baseline-den) RMSE,-0.05877557396888733,,,,,,,
delta(baseline-den) RRMSE,3.30805778503418e-05,,,,,,,
