noise,snr_idx,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std,CC_overall,MSE_overall,RMSE_overall,RRMSE_overall
EOG,0,0.9954490661621094,0.0029377671889960766,0.00917750969529152,0.005880411248654127,0.09185294061899185,0.027212999761104584,0.09185294061899185,0.027212999761104584,,,,
EOG,1,0.995945394039154,0.0025312902871519327,0.008182303979992867,0.0050777532160282135,0.08680879324674606,0.025427091866731644,0.08680879324674606,0.025427090004086494,,,,
EOG,2,0.9963821768760681,0.0022122180089354515,0.00730544188991189,0.004443897865712643,0.08208082616329193,0.023836538195610046,0.08208082616329193,0.023836538195610046,,,,
EOG,3,0.9967690110206604,0.0019439583411440253,0.006528394762426615,0.003909367602318525,0.07764388620853424,0.02235669083893299,0.07764388620853424,0.02235669083893299,,,,
EOG,4,0.997111976146698,0.0017132420325651765,0.0058388072066009045,0.0034484858624637127,0.07348161190748215,0.0209585502743721,0.07348161190748215,0.0209585502743721,,,,
EOG,5,0.9974146485328674,0.0015138820745050907,0.005229835398495197,0.003049414372071624,0.0695989578962326,0.019642315804958344,0.0695989578962326,0.019642315804958344,,,,
EOG,6,0.9976800084114075,0.0013425751822069287,0.004695732146501541,0.0027057966217398643,0.06600305438041687,0.018420888110995293,0.06600305438041687,0.018420888110995293,,,,
EOG,7,0.9979109168052673,0.0011972346110269427,0.004230805207043886,0.0024139259476214647,0.06269799917936325,0.0173137579113245,0.06269799917936325,0.0173137579113245,,,,
EOG,8,0.9981105923652649,0.0010746294865384698,0.0038286943454295397,0.002167588099837303,0.05968426913022995,0.01632428914308548,0.05968426913022995,0.01632428914308548,,,,
EOG,9,0.9982825517654419,0.0009715553023852408,0.0034825040493160486,0.0019605886191129684,0.056954000145196915,0.015451394952833652,0.056954000145196915,0.015451394952833652,,,,
EOG,10,0.9984296560287476,0.0008859914378263056,0.003186563029885292,0.0017889670561999083,0.05450335144996643,0.014695173129439354,0.05450335144996643,0.014695173129439354,,,,
EOG,ALL,,,,,,,,,0.9972259402275085,0.005607871804386377,0.07102815061807632,0.07102815061807632
