noise,snr_idx,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std,CC_overall,MSE_overall,RMSE_overall,RRMSE_overall
EOG_BASELINE,0,0.48463860154151917,0.09189768135547638,3.1622774600982666,2.5069292064472393e-07,1.7782795429229736,1.428438167749846e-07,1.7782795429229736,1.3721327718485554e-07,,,,
EOG_BASELINE,1,0.5285484790802002,0.08399160951375961,2.5118865966796875,1.9928472738683922e-07,1.5848931074142456,1.1650109854599577e-07,1.5848931074142456,1.265381683879241e-07,,,,
EOG_BASELINE,2,0.5733312368392944,0.07547841966152191,1.9952621459960938,1.9112890470296406e-07,1.4125373363494873,2.297009871199407e-07,1.4125373363494873,2.3038646190798318e-07,,,,
EOG_BASELINE,3,0.6182169318199158,0.0665782243013382,1.5848931074142456,1.1068068062058956e-07,1.258925437927246,6.31338181733554e-08,1.258925437927246,6.077254965930479e-08,,,,
EOG_BASELINE,4,0.6623616218566895,0.05757025629281998,1.2589256763458252,2.628927973091777e-07,1.122018575668335,1.1739459182535938e-07,1.122018575668335,1.1213022332867695e-07,,,,
EOG_BASELINE,5,0.7049135565757751,0.0487629696726799,1.0,3.437593321109489e-08,1.0,2.4385489183487152e-08,1.0,2.4943934917587285e-08,,,,
EOG_BASELINE,6,0.7450892329216003,0.04045381397008896,0.7943282723426819,5.539181202607324e-08,0.8912509083747864,3.114276481142042e-08,0.8912509083747864,3.586357877338742e-08,,,,
EOG_BASELINE,7,0.7822434306144714,0.03288901969790459,0.6309573650360107,3.452758079447449e-08,0.7943282723426819,3.318073638070018e-08,0.7943282723426819,3.21040012352114e-08,,,,
EOG_BASELINE,8,0.8159193396568298,0.02623475342988968,0.501187264919281,4.861491120777828e-08,0.7079458832740784,1.0305408437716324e-07,0.7079458832740784,9.979953574656975e-08,,,,
EOG_BASELINE,9,0.8458693027496338,0.02056659385561943,0.3981071412563324,3.352606370299327e-08,0.6309574246406555,7.103515287099071e-08,0.6309574246406555,7.061266416030776e-08,,,,
EOG_BASELINE,10,0.8720462322235107,0.01587715744972229,0.3162277936935425,3.3051655634608323e-08,0.5623412728309631,5.510812428610734e-08,0.5623412728309631,5.784963619248629e-08,,,,
EOG_BASELINE,ALL,,,,,,,,,0.6939252614974976,1.2867320775985718,1.0675889253616333,1.0675889253616333
