noise,snr_db,metric,pct_improvement
EMG,2.0,MSE,96.17233443431465
EMG,3.0,MSE,95.60739763040542
EMG,4.0,MSE,94.91783659216647
EMG,5.0,MSE,94.08412051560096
EOG,-5.0,CC,105.40028445852738
EOG,-4.0,CC,88.43028283277542
EOG,-3.0,CC,73.78822447718042
EOG,-2.0,CC,61.232887634823854
EOG,-1.0,CC,50.53891156188336
EOG,0.0,CC,41.494604441707835
EOG,1.0,CC,33.90074159297176
EOG,2.0,CC,27.570379980229898
EOG,3.0,CC,22.329566643813514
EOG,4.0,CC,18.018534130552382
EOG,5.0,CC,14.492743519227083
EOG,-5.0,RMSE,94.83472995094954
EOG,-4.0,RMSE,94.52273513963509
EOG,-3.0,RMSE,94.1891216571012
EOG,-2.0,RMSE,93.8325270211101
EOG,-1.0,RMSE,93.45094515358514
EOG,0.0,RMSE,93.04010421037674
EOG,1.0,RMSE,92.59433524721175
EOG,2.0,RMSE,92.10678993025762
EOG,3.0,RMSE,91.56937408065647
EOG,4.0,RMSE,90.97340043543612
EOG,5.0,RMSE,90.30778033140209
EOG,-5.0,RRMSE,94.83472995094954
EOG,-4.0,RRMSE,94.52273513963509
EOG,-3.0,RRMSE,94.1891216571012
EOG,-2.0,RRMSE,93.8325270211101
EOG,-1.0,RRMSE,93.45094515358514
EOG,0.0,RRMSE,93.04010421037674
EOG,1.0,RRMSE,92.59433524721175
EOG,2.0,RRMSE,92.10678993025762
EOG,3.0,RRMSE,91.56937408065647
EOG,4.0,RRMSE,90.97340043543612
EOG,5.0,RRMSE,90.30778033140209
EOG,-5.0,MSE,99.70978164278455
EOG,-4.0,MSE,99.67425663281102
EOG,-3.0,MSE,99.63386054786977
EOG,-2.0,MSE,99.58808611559441
EOG,-1.0,MSE,99.53620715533036
EOG,0.0,MSE,99.4770164601505
EOG,1.0,MSE,99.40884237537554
EOG,2.0,MSE,99.32946258471802
EOG,3.0,MSE,99.23607509339925
EOG,4.0,MSE,99.1252344687096
EOG,5.0,MSE,98.99232037998112
SHIV,-5.0,CC,93.5409773501727
SHIV,-4.0,CC,79.92537887615842
SHIV,-3.0,CC,67.70840518104801
SHIV,-2.0,CC,56.8713556002089
SHIV,-1.0,CC,47.37039228818687
SHIV,0.0,CC,39.152308359791554
SHIV,1.0,CC,32.1327296354978
SHIV,2.0,CC,26.207482809393994
SHIV,3.0,CC,21.254333344504133
SHIV,4.0,CC,17.149082653160857
SHIV,5.0,CC,13.772074933897477
SHIV,-5.0,RMSE,85.47879983278462
SHIV,-4.0,RMSE,85.37087173359585
SHIV,-3.0,RMSE,85.19147454791347
SHIV,-2.0,RMSE,84.91485499303971
SHIV,-1.0,RMSE,84.5059916025768
SHIV,0.0,RMSE,83.94745588302614
SHIV,1.0,RMSE,83.2298270193278
SHIV,2.0,RMSE,82.354255772489
SHIV,3.0,RMSE,81.31732556729779
SHIV,4.0,RMSE,80.11700303843638
SHIV,5.0,RMSE,78.7504050285118
SHIV,-5.0,RRMSE,85.47879983278462
SHIV,-4.0,RRMSE,85.37087173359585
SHIV,-3.0,RRMSE,85.19147454791347
SHIV,-2.0,RRMSE,84.91485499303971
SHIV,-1.0,RRMSE,84.5059916025768
SHIV,0.0,RRMSE,83.94745588302614
SHIV,1.0,RRMSE,83.2298270193278
SHIV,2.0,RRMSE,82.354255772489
SHIV,3.0,RRMSE,81.31732556729779
SHIV,4.0,RRMSE,80.11700303843638
SHIV,5.0,RRMSE,78.7504050285118
SHIV,-5.0,MSE,96.85199640873027
SHIV,-4.0,MSE,96.88302249009455
SHIV,-3.0,MSE,96.91976277359943
SHIV,-2.0,MSE,96.93639104386837
SHIV,-1.0,MSE,96.90066252906668
SHIV,0.0,MSE,96.79486975073816
SHIV,1.0,MSE,96.60775733631424
SHIV,2.0,MSE,96.33800798916806
SHIV,3.0,MSE,95.97742899856301
SHIV,4.0,MSE,95.51668359127612
SHIV,5.0,MSE,94.94443855686114
